"","Cote_crédit_num","Cote_crédit","RATINGS","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","Dette_LT","Total_passif","Total_actif","Bénéfices_non_répartis","Flux_de_trésorie_d'expl","Passif_courant","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_actuel","Ratio_de_liquid_réduite","Ratio_de_liquidité","Fonds_roulement","Ratio_Fonds_de_roulmt_sur_ventes","Marge_opérationnelle","Beta_applique","Croissance_adj_des_Bén_ann","Croissance_tot_actif","ratio_tot_liab_sur_tot_actif","ratio_B_non_rep_sur_Tot_actif","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_Fonds_de_roulement_sur_tot_actif"
"71",6,"B","B",4.6764,-23.3359,-17.0753,-7.5219,1034.421,2607.838,4455.961,95.033,244.225,391.751,-3.6896,23.95,1.6925,1.2341,1.0112,271.284,0.2895,-23.3359,2.3266,-36.6009,1.3043,0.585247043230405,0.0213271615258751,0.623418957450013,0.0608811432595572
"72",4,"BBB","BBB",17.5199,-9.9835,-7.9975,-4.009,5923,15826,33122,8365,2971,4636,-4.7957,21.0796,1.0651,0.6618,0.3829,302,0.0249,-9.9835,1.3205,23.5876,-3.1389,0.477809311031943,0.252551174445988,0.640854184641933,0.00911780689571886
"73",6,"B","B",10.5382,5.7617,9.8981,4.7586,159.28,1197.2,942.888,303.652,151.572,328.725,6.1235,17.3035,1.8217,1.1174,0.6097,270.123,0.2292,5.7617,1.1317,47.1767,-1.7699,1.26971602141506,0.322044611873308,0.461090577230208,0.286484715045689
"74",6,"B","B+",-5.773,-31.7375,-16.2483,-10.5482,449.3,1443.3,3862.1,-350.2,368,266,-41.7407,12.0996,4.7481,3.1575,3.1455,997,0.8714,-31.7375,0.1894,-23.6834,-1.7699,0.373708604127288,-0.0906760570673986,1.38345864661654,0.258149711296963
"75",2,"AA","AA+",11.7693,6.3366,9.0229,5.2605,5104,17911,42187,24812,4429,4595,14.4681,12.9495,1.3774,0.9613,0.3739,1734,0.0487,6.3366,1.0076,-18.4635,0.656,0.424562068883779,0.588143266883163,0.963873775843308,0.0411027093654443
"76",4,"BBB","BBB-",35.4139,29.7477,19.0585,7.3572,2573.5536,8967.916,13960.424,1372.7944,895.1076,1354.196,51.6923,19.4505,2.3133,1.4,0.8223,1778.472,0.3053,29.7477,0.5829,-7.3373,43.383,0.642381348875937,0.0983347210657785,0.660988217362922,0.127393838467943
"77",4,"BBB","BBB-",73.455,38.5242,-6.9959,-0.4351,4281.586,5756.778,6372.104,-879.849,240.065,641.353,0.9994,73.6913,0.4765,0.3874,0.2436,-335.721,-0.6721,38.5242,0.4701,16.1838,18.596,0.903434407222481,-0.138078254843298,0.374310247242938,-0.0526860515773126
"78",4,"BBB","BBB+",41.7899,27.7324,13.3837,4.4157,4471.5,8862.1,12951.4,-838.8,841.1,3098.2,2.9604,52.975,0.135,0.1148,0.0105,-2679.8,-0.8202,27.7324,1.0693,-15.808,8.4147,0.684258072486372,-0.0647651991290517,0.271480214317991,-0.206911994070139
"79",5,"BB","BB-",13.2888,7.9876,16.1446,4.0595,482.491,753.512,1025.74,-87.899,102.078,178.084,2.8141,49.6042,1.951,0.7874,0.0396,169.363,0.1536,7.9876,0.9458,23.5082,17.0589,0.73460331078051,-0.0856932556008345,0.573201410570293,0.165112991596311
"80",4,"BBB","BBB",22.5997,14.9055,15.153,6.2736,2848.455,4460.337,7514.188,-18.022,887.935,816.961,3.949,40.2234,0.8033,0.6095,0.0114,-160.684,-0.022,14.9055,1.0651,2.082,14.3051,0.593588688491691,-0.00239839620728148,1.08687562808996,-0.0213840803557217
"81",4,"BBB","BBB-",49.2494,28.339,14.6277,8.3852,1876.3,3743.4,9076,-9829.4,1169.3,615.5,9.1854,20.8495,2.9646,0.9456,0.9344,1209.2,0.3138,28.339,0.2955,29.8369,0.2769,0.412450418686646,-1.08301013662406,1.89975629569456,0.133230498016747
